theorem,steps,time,success,feedback,proof
mathd_algebra_478,2,9.54,True,Proof found.,"rw [h₁]
nlinarith"
numbertheory_4x3m7y3neq2003,20,48.85,False,Max steps reached.,
aime_1983_p1,20,100.15,False,Max steps reached.,
amc12_2001_p5,0,0.14,False,Failed to create goal state: too many values to unpack (expected 1),
mathd_algebra_141,1,2.96,True,Proof found.,nlinarith
mathd_numbertheory_3,1,4.37,True,Proof found.,norm_num
imo_1969_p2,20,106.42,False,Max steps reached.,
mathd_algebra_44,0,2.83,False,Failed to search: Server not running.,
mathd_algebra_209,0,0.00,False,Failed to create goal state: Server not running.,
mathd_numbertheory_1124,0,0.00,False,Failed to create goal state: Server not running.,
imo_1983_p6,0,0.00,False,Failed to create goal state: Server not running.,
mathd_numbertheory_237,0,0.00,False,Failed to create goal state: Server not running.,
mathd_algebra_33,0,0.00,False,Failed to create goal state: Server not running.,
amc12b_2021_p3,0,0.00,False,Failed to create goal state: Server not running.,
mathd_numbertheory_299,0,0.00,False,Failed to create goal state: Server not running.,
amc12b_2020_p2,0,0.00,False,Failed to create goal state: Server not running.,
algebra_sqineq_unitcircatbpabsamblt1,0,0.00,False,Failed to create goal state: Server not running.,
imo_1977_p6,0,0.00,False,Failed to create goal state: Server not running.,
mathd_algebra_419,0,0.00,False,Failed to create goal state: Server not running.,
amc12a_2020_p10,0,0.00,False,Failed to create goal state: Server not running.,
imo_1960_p2,0,0.00,False,Failed to create goal state: Server not running.,
mathd_numbertheory_427,0,0.00,False,Failed to create goal state: Server not running.,
numbertheory_x5neqy2p4,0,0.00,False,Failed to create goal state: Server not running.,
mathd_algebra_398,0,0.00,False,Failed to create goal state: Server not running.,
